,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Chile,0.0,5.0,0.0,230.0,1.0,92.0,9.0,0.0,1.0,7.0,6.0,11.0,2.0,6.0,1.0,14.0,0.0,1530.0,0.0,1.0,8.0,15.0,49.0,17.0,0.0,15.0,15.0,4.0,0.0,0.0,1.0,2.0,18.0,1.0,0.0,6.0,0.0,16.0,4.0,2.0,2.0,10.0,62.0,1.0,33.0,32.0,13.0,5.0,18.0,3.0,0.0,0.0,61.0,0.0,0.0,0.0,5.0,4.0,32.0,7.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,16.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,4.0,27.0,13.0,0.0,9.0,12.0,5.0,0.0,17.0,4.0,5.0,32.0,3.0,1.0,9.0,4.0,0.0,4.0,0.0,76.0,0.0,41.0,25.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,1.0,0.0,0.0,0.0,10.0,36.0
Costa Rica,0.0,5.0,0.0,41.0,0.0,8.0,4.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,7.0,0.0,378.0,0.0,0.0,9.0,2.0,49.0,3.0,0.0,8.0,0.0,2.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,5.0,0.0,0.0,10.0,13.0,6.0,0.0,8.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,14.0,1.0,0.0,0.0,1.0,0.0,2.0,13.0,0.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,4.0,32.0,2.0,0.0,19.0,2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,10.0,8.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,0.0,1.0,0.0,3.0,26.0
Botswana,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,74.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Kosovo,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Angola,0.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,8.0,2.0,2.0,1.0,158.0,0.0,0.0,1.0,0.0,6.0,0.0,5.0,90.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,19.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,3.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,1.0,13.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,17.0,0.0,10.0,1.0,0.0,0.0,0.0,11.0,8.0
Kyrgyzstan,0.0,4.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,76.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,32.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,0.0,4.0,1.0,24.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,4.0,2.0,3.0,2.0,12.0,0.0,358.0,0.0,0.0,10.0,3.0,8.0,8.0,2.0,42.0,1.0,9.0,0.0,0.0,8.0,1.0,36.0,0.0,0.0,15.0,0.0,26.0,15.0,0.0,6.0,0.0,0.0,0.0,1.0,20.0,5.0,0.0,8.0,1.0,3.0,0.0,24.0,0.0,0.0,2.0,1.0,0.0,18.0,4.0,2.0,0.0,0.0,0.0,0.0,74.0,2.0,29.0,15.0,0.0,0.0,1.0,0.0,3.0,12.0,0.0,1.0,1.0,14.0,0.0,7.0,7.0,1.0,4.0,3.0,0.0,3.0,8.0,18.0,1.0,0.0,11.0,0.0,1.0,4.0,0.0,0.0,6.0,6.0,0.0,1.0,2.0,9.0,0.0,1.0,1.0,17.0,0.0,9.0,3.0,1.0,0.0,0.0,8.0,0.0
Mozambique,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,101.0,0.0,1.0,0.0,102.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,54.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,7.0,1.0,0.0,0.0,0.0,10.0,1.0
Mexico,0.0,2.0,3.0,542.0,3.0,47.0,34.0,0.0,2.0,12.0,36.0,18.0,9.0,22.0,15.0,57.0,0.0,3310.0,23.0,0.0,15.0,18.0,147.0,29.0,0.0,27.0,0.0,13.0,3.0,0.0,3.0,9.0,18.0,0.0,0.0,3.0,2.0,111.0,5.0,3.0,4.0,41.0,8.0,1.0,42.0,78.0,114.0,3.0,52.0,5.0,3.0,0.0,182.0,0.0,0.0,0.0,0.0,14.0,38.0,4.0,4.0,0.0,2.0,0.0,12.0,29.0,1.0,106.0,500.0,2.0,0.0,0.0,18.0,11.0,3.0,2.0,5.0,56.0,14.0,1.0,99.0,29.0,128.0,1.0,55.0,13.0,10.0,161.0,22.0,2.0,3.0,1.0,0.0,4.0,2.0,303.0,0.0,91.0,47.0,16.0,14.0,9.0,5.0,2.0,18.0,2.0,32.0,0.0,51.0,14.0,0.0,7.0,0.0,7.0,135.0
Greece,0.0,1.0,0.0,14.0,2.0,46.0,7.0,0.0,131.0,0.0,2.0,5.0,2.0,5.0,0.0,74.0,0.0,2680.0,5.0,0.0,9.0,6.0,4.0,0.0,1.0,60.0,0.0,10.0,2.0,0.0,3.0,0.0,18.0,0.0,0.0,2.0,0.0,177.0,73.0,1.0,42.0,0.0,2.0,0.0,2.0,12.0,2.0,0.0,12.0,3.0,0.0,0.0,50.0,0.0,0.0,0.0,8.0,2.0,15.0,50.0,0.0,0.0,4.0,0.0,44.0,17.0,0.0,84.0,17.0,4.0,1.0,0.0,2.0,29.0,0.0,0.0,49.0,6.0,9.0,1.0,4.0,13.0,3.0,0.0,3.0,36.0,42.0,55.0,17.0,1.0,4.0,4.0,0.0,42.0,1.0,88.0,0.0,27.0,5.0,1.0,5.0,3.0,0.0,0.0,0.0,1.0,6.0,2.0,19.0,9.0,2.0,16.0,0.0,8.0,13.0
Indonesia,0.0,8.0,3.0,78.0,1.0,8.0,0.0,0.0,4.0,0.0,0.0,12.0,6.0,7.0,9.0,54.0,0.0,2549.0,0.0,0.0,22.0,18.0,173.0,91.0,1.0,122.0,0.0,12.0,1.0,0.0,2.0,0.0,54.0,1.0,0.0,27.0,8.0,74.0,6.0,1.0,7.0,13.0,0.0,1.0,24.0,68.0,29.0,4.0,59.0,13.0,3.0,0.0,171.0,2.0,0.0,0.0,8.0,0.0,29.0,77.0,0.0,0.0,1.0,0.0,22.0,59.0,14.0,121.0,85.0,0.0,0.0,1.0,5.0,6.0,3.0,2.0,25.0,40.0,217.0,0.0,4.0,1.0,2.0,0.0,38.0,73.0,10.0,9.0,22.0,0.0,8.0,16.0,0.0,26.0,0.0,7.0,0.0,12.0,16.0,1.0,4.0,24.0,0.0,3.0,1.0,3.0,115.0,0.0,20.0,7.0,0.0,2.0,1.0,2.0,29.0
Romania,0.0,17.0,1.0,253.0,3.0,149.0,18.0,0.0,3.0,0.0,42.0,1.0,5.0,1.0,0.0,19.0,0.0,1457.0,0.0,1.0,12.0,24.0,2.0,4.0,0.0,12.0,5.0,22.0,5.0,0.0,3.0,0.0,32.0,0.0,0.0,1.0,0.0,39.0,4.0,1.0,1.0,20.0,0.0,0.0,8.0,32.0,23.0,1.0,18.0,8.0,0.0,0.0,525.0,0.0,0.0,0.0,2.0,1.0,10.0,12.0,11.0,0.0,11.0,1.0,12.0,3.0,0.0,29.0,16.0,0.0,0.0,0.0,0.0,302.0,0.0,1.0,20.0,54.0,16.0,1.0,27.0,18.0,2.0,0.0,9.0,12.0,71.0,11.0,37.0,0.0,8.0,0.0,0.0,4.0,0.0,97.0,0.0,12.0,16.0,1.0,4.0,14.0,0.0,117.0,1.0,0.0,112.0,0.0,16.0,38.0,0.0,23.0,0.0,1.0,6.0
Austria,0.0,3.0,0.0,141.0,5.0,15.0,4.0,0.0,8.0,0.0,7.0,3.0,10.0,13.0,4.0,16.0,0.0,1027.0,0.0,1.0,16.0,6.0,14.0,23.0,0.0,27.0,0.0,20.0,1.0,0.0,27.0,1.0,34.0,0.0,0.0,0.0,0.0,10.0,23.0,2.0,30.0,3.0,5.0,0.0,19.0,41.0,27.0,3.0,22.0,22.0,0.0,0.0,176.0,0.0,0.0,0.0,3.0,0.0,12.0,2.0,2.0,0.0,23.0,0.0,15.0,32.0,0.0,158.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,7.0,31.0,8.0,10.0,1.0,7.0,30.0,4.0,1.0,1.0,25.0,7.0,13.0,24.0,0.0,2.0,1.0,2.0,2.0,13.0,6.0,0.0,32.0,11.0,0.0,0.0,8.0,5.0,4.0,1.0,0.0,8.0,0.0,16.0,15.0,0.0,7.0,0.0,2.0,28.0
Guinea-Bissau,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,0.0,8.0,0.0,220.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,2.0,0.0,436.0,7.0,0.0,15.0,1.0,1.0,9.0,1.0,3.0,2.0,5.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,26.0,53.0,0.0,18.0,0.0,0.0,0.0,22.0,33.0,31.0,0.0,11.0,4.0,0.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,83.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,4.0,2.0,6.0,0.0,10.0,1.0,0.0,0.0,2.0,3.0,9.0,6.0,9.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,55.0,3.0,1.0,0.0,8.0,0.0,8.0,1.0,1.0,15.0,0.0,3.0,1.0,0.0,3.0,8.0,4.0,3.0
Rwanda,0.0,1.0,8.0,81.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,12.0,1.0,3.0,1.0,149.0,0.0,2.0,5.0,1.0,2.0,46.0,3.0,72.0,1.0,6.0,0.0,7.0,2.0,0.0,18.0,0.0,0.0,17.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,6.0,0.0,37.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,3.0,0.0,2.0,0.0,1.0,47.0,27.0,23.0,1.0,0.0,0.0,0.0,4.0,0.0,11.0,1.0,2.0,1.0,3.0,2.0,1.0,5.0,0.0,0.0,4.0,0.0,2.0,3.0,6.0,0.0,1.0,12.0,0.0,2.0,7.0,7.0,0.0,1.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,8.0,16.0,1.0,6.0,0.0,2.0,0.0,0.0,2.0,4.0
Philippines,0.0,12.0,0.0,96.0,6.0,2.0,0.0,0.0,0.0,6.0,2.0,8.0,1.0,35.0,2.0,47.0,0.0,1358.0,1.0,0.0,15.0,3.0,76.0,2.0,5.0,32.0,1.0,104.0,1.0,0.0,1.0,1.0,12.0,0.0,0.0,5.0,0.0,60.0,11.0,0.0,1.0,5.0,0.0,0.0,7.0,33.0,11.0,0.0,2.0,6.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,12.0,70.0,0.0,0.0,0.0,0.0,6.0,27.0,3.0,58.0,0.0,0.0,0.0,2.0,1.0,2.0,7.0,1.0,9.0,15.0,28.0,0.0,31.0,17.0,0.0,0.0,2.0,14.0,8.0,22.0,3.0,19.0,1.0,30.0,0.0,1.0,6.0,1.0,0.0,9.0,5.0,0.0,4.0,0.0,5.0,1.0,2.0,0.0,21.0,0.0,32.0,14.0,1.0,0.0,0.0,6.0,17.0
Czechia,0.0,13.0,4.0,283.0,15.0,28.0,8.0,1.0,34.0,12.0,23.0,26.0,27.0,15.0,44.0,88.0,1.0,2276.0,3.0,2.0,221.0,92.0,47.0,2.0,0.0,98.0,7.0,132.0,19.0,0.0,56.0,6.0,151.0,3.0,0.0,8.0,4.0,210.0,56.0,6.0,23.0,27.0,12.0,1.0,50.0,121.0,122.0,8.0,134.0,109.0,8.0,2.0,464.0,22.0,1.0,0.0,37.0,11.0,19.0,5.0,8.0,0.0,26.0,2.0,73.0,65.0,7.0,182.0,41.0,2.0,2.0,1.0,87.0,19.0,7.0,9.0,83.0,80.0,29.0,3.0,21.0,94.0,17.0,9.0,55.0,16.0,49.0,111.0,107.0,0.0,7.0,11.0,0.0,45.0,11.0,39.0,1.0,95.0,43.0,11.0,20.0,34.0,8.0,4.0,14.0,0.0,82.0,1.0,85.0,46.0,0.0,13.0,0.0,22.0,73.0
Comoros,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,42.0,0.0,0.0,1.0,1.0,2.0,20.0,0.0,6.0,0.0,28.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0
South Sudan,0.0,3.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,14.0,1.0,3.0,0.0,84.0,0.0,0.0,1.0,0.0,2.0,15.0,2.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,2.0,0.0,0.0,4.0,1.0
Saudi Arabia,0.0,2.0,0.0,9.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,2.0,1.0,40.0,1.0,10.0,0.0,705.0,0.0,0.0,6.0,1.0,9.0,78.0,1.0,78.0,0.0,188.0,0.0,1.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,71.0,17.0,3.0,6.0,2.0,0.0,0.0,5.0,6.0,4.0,1.0,6.0,2.0,0.0,0.0,71.0,0.0,0.0,1.0,4.0,2.0,9.0,0.0,3.0,1.0,3.0,0.0,95.0,34.0,1.0,55.0,59.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,11.0,5.0,14.0,1.0,2.0,0.0,1.0,0.0,2.0,8.0,22.0,8.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,8.0,12.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,51.0,0.0,12.0,14.0,0.0,0.0,0.0,13.0,6.0
Armenia,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,9.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,14.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,19.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0,3.0,1.0
Australia,0.0,13.0,3.0,107.0,9.0,54.0,1.0,21.0,38.0,6.0,10.0,11.0,132.0,5.0,13.0,141.0,0.0,5222.0,3.0,1.0,113.0,61.0,13.0,6.0,6.0,139.0,4.0,170.0,12.0,0.0,31.0,18.0,107.0,5.0,1.0,3.0,2.0,106.0,38.0,10.0,52.0,14.0,3.0,117.0,47.0,102.0,115.0,14.0,106.0,64.0,4.0,0.0,507.0,204.0,1.0,0.0,34.0,2.0,39.0,18.0,0.0,0.0,7.0,1.0,30.0,66.0,12.0,158.0,57.0,0.0,0.0,5.0,26.0,19.0,1.0,6.0,58.0,27.0,29.0,19.0,23.0,114.0,4.0,4.0,43.0,9.0,28.0,129.0,67.0,8.0,5.0,7.0,0.0,22.0,3.0,27.0,0.0,215.0,39.0,10.0,10.0,29.0,2.0,3.0,8.0,1.0,61.0,6.0,58.0,51.0,1.0,7.0,0.0,10.0,56.0
Viet Nam,0.0,12.0,9.0,115.0,0.0,4.0,0.0,0.0,1.0,0.0,89.0,9.0,4.0,3.0,0.0,9.0,0.0,2017.0,0.0,0.0,6.0,6.0,68.0,0.0,5.0,26.0,3.0,41.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,1.0,0.0,101.0,5.0,0.0,6.0,12.0,1.0,0.0,4.0,30.0,166.0,16.0,15.0,5.0,1.0,0.0,67.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,16.0,19.0,9.0,14.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,5.0,26.0,2.0,0.0,10.0,0.0,2.0,3.0,32.0,9.0,3.0,9.0,25.0,0.0,0.0,1.0,0.0,12.0,0.0,14.0,0.0,29.0,8.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,13.0,0.0,6.0,5.0,0.0,0.0,0.0,14.0,55.0
Pakistan,0.0,1.0,1.0,16.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,7.0,0.0,79.0,3.0,20.0,4.0,486.0,0.0,0.0,5.0,3.0,553.0,37.0,0.0,55.0,4.0,27.0,1.0,1.0,1.0,0.0,12.0,0.0,0.0,2.0,1.0,14.0,12.0,0.0,0.0,13.0,3.0,0.0,14.0,32.0,26.0,6.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,392.0,1.0,206.0,3.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,18.0,521.0,1.0,7.0,4.0,3.0,0.0,2.0,2.0,7.0,9.0,7.0,0.0,13.0,1.0,0.0,3.0,0.0,5.0,0.0,15.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,41.0,0.0,347.0,6.0,5.0,2.0,0.0,11.0,20.0
Djibouti,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
Somalia,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,51.0,0.0,2.0,0.0,109.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0
Congo,0.0,6.0,1.0,16.0,1.0,0.0,0.0,1.0,0.0,25.0,7.0,37.0,6.0,83.0,7.0,7.0,20.0,204.0,0.0,0.0,2.0,4.0,8.0,0.0,9.0,705.0,7.0,7.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,8.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,1.0,21.0,0.0,0.0,0.0,1.0,1.0,10.0,73.0,5.0,129.0,16.0,0.0,0.0,6.0,0.0,0.0,6.0,2.0,2.0,9.0,39.0,1.0,0.0,3.0,1.0,0.0,12.0,1.0,5.0,14.0,3.0,0.0,0.0,6.0,0.0,4.0,37.0,81.0,0.0,9.0,2.0,1.0,11.0,1.0,8.0,1.0,0.0,0.0,12.0,0.0,18.0,3.0,0.0,1.0,0.0,24.0,12.0
