,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Nigeria,0.0,2.0,1.0,35.0,2.0,1.0,6.0,21.0,7.0,0.0,24.0,17.0,5.0,147.0,2.0,30.0,0.0,1027.0,1.0,0.0,32.0,10.0,6.0,7.0,18.0,313.0,2.0,48.0,1.0,0.0,3.0,1.0,20.0,5.0,0.0,8.0,3.0,21.0,12.0,1.0,22.0,5.0,8.0,0.0,14.0,67.0,40.0,1.0,35.0,3.0,4.0,0.0,58.0,0.0,0.0,272.0,1.0,1.0,89.0,2.0,0.0,1.0,6.0,0.0,13.0,300.0,117.0,277.0,17.0,0.0,0.0,0.0,5.0,3.0,17.0,1.0,9.0,7.0,97.0,1.0,7.0,14.0,10.0,0.0,5.0,0.0,67.0,47.0,23.0,0.0,5.0,17.0,0.0,3.0,10.0,125.0,0.0,15.0,5.0,0.0,9.0,1.0,5.0,1.0,1.0,0.0,58.0,0.0,75.0,20.0,0.0,1.0,1.0,41.0,57.0
Poland,0.0,1.0,2.0,47.0,10.0,4.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,0.0,20.0,1.0,740.0,1.0,0.0,10.0,8.0,5.0,111.0,0.0,15.0,6.0,11.0,0.0,4.0,1.0,1.0,27.0,0.0,0.0,0.0,2.0,49.0,4.0,1.0,6.0,3.0,1.0,0.0,2.0,11.0,28.0,2.0,8.0,2.0,1.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,9.0,4.0,1.0,50.0,1.0,12.0,0.0,1.0,1.0,6.0,0.0,4.0,10.0,7.0,15.0,2.0,29.0,3.0,4.0,0.0,8.0,6.0,8.0,9.0,43.0,0.0,1.0,0.0,0.0,46.0,0.0,5.0,0.0,8.0,6.0,1.0,24.0,4.0,0.0,1.0,0.0,2.0,248.0,0.0,13.0,1.0,0.0,1.0,0.0,7.0,11.0
Armenia,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,79.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,11.0,0.0,71.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,405.0,3.0,8.0,104.0,512.0,0.0,0.0,2.0,0.0,4.0,183.0,0.0,218.0,2.0,145.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,3.0,1.0,78.0,25.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,1.0,5.0,7.0,0.0,0.0,3.0,0.0,11.0,7.0,30.0,25.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,15.0,21.0,1.0,3.0,5.0,38.0,2.0
"Tanzania, United Republic of",0.0,10.0,2.0,0.0,1.0,2.0,9.0,0.0,0.0,2.0,0.0,4.0,2.0,15.0,10.0,0.0,1.0,115.0,0.0,0.0,9.0,0.0,5.0,5.0,0.0,227.0,1.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,9.0,1.0,18.0,2.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,3.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,7.0,56.0,0.0,1.0,1.0,0.0,3.0,109.0,101.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,29.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0,1.0,9.0,11.0,0.0,0.0,12.0,0.0,8.0,6.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,20.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,10.0
Malawi,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78.0,0.0,6.0,0.0,113.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,49.0,0.0,64.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,349.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,11.0,0.0,5.0,2.0,0.0,1.0,0.0,8.0,3.0
Zimbabwe,0.0,6.0,1.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,233.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,1.0,18.0,5.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,10.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,7.0,16.0,0.0,0.0,0.0,12.0,0.0,0.0,10.0,2.0,0.0,0.0,12.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,15.0,0.0,46.0,1.0,0.0,0.0,0.0,3.0,1.0
Turkey,0.0,20.0,0.0,60.0,3.0,23.0,11.0,0.0,2.0,1.0,59.0,2.0,2.0,2.0,0.0,12.0,16.0,1026.0,1.0,2.0,20.0,11.0,5.0,61.0,1.0,27.0,51.0,19.0,7.0,1.0,7.0,0.0,57.0,0.0,0.0,0.0,1.0,282.0,31.0,0.0,0.0,3.0,1.0,0.0,27.0,49.0,37.0,6.0,66.0,5.0,1.0,0.0,121.0,0.0,1.0,0.0,1.0,2.0,24.0,5.0,0.0,0.0,2.0,0.0,10.0,49.0,1.0,111.0,5.0,17.0,0.0,0.0,25.0,18.0,0.0,21.0,0.0,18.0,48.0,0.0,39.0,266.0,4.0,0.0,20.0,31.0,61.0,62.0,57.0,0.0,54.0,3.0,0.0,14.0,12.0,55.0,0.0,29.0,14.0,0.0,14.0,10.0,0.0,6.0,0.0,0.0,93.0,1.0,25.0,15.0,1.0,18.0,9.0,11.0,28.0
Rwanda,0.0,1.0,0.0,13.0,0.0,0.0,1.0,3.0,0.0,41.0,4.0,1.0,12.0,1.0,1.0,7.0,0.0,252.0,0.0,0.0,6.0,1.0,0.0,7.0,19.0,66.0,13.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,6.0,10.0,0.0,12.0,0.0,0.0,0.0,1.0,10.0,54.0,0.0,0.0,0.0,1.0,0.0,9.0,136.0,0.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,5.0,0.0,12.0,0.0,3.0,11.0,0.0,0.0,6.0,6.0,2.0,5.0,3.0,0.0,0.0,13.0,0.0,7.0,31.0,5.0,0.0,17.0,2.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,25.0,0.0,4.0,3.0,1.0,0.0,2.0,3.0,11.0
Afghanistan,0.0,3.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,136.0,0.0,11.0,6.0,303.0,0.0,0.0,6.0,13.0,11.0,11.0,0.0,39.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,18.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,9.0,21.0,0.0,3.0,0.0,4.0,0.0,17.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,386.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,6.0,288.0,1.0,2.0,0.0,0.0,0.0,3.0,14.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,21.0,0.0,4.0,1.0,1.0,0.0,0.0,4.0,6.0
Morocco,0.0,1.0,0.0,33.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,85.0,0.0,2146.0,0.0,0.0,9.0,1.0,3.0,62.0,0.0,56.0,0.0,73.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,54.0,6.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,1.0,25.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,8.0,6.0,4.0,0.0,10.0,1.0,2.0,0.0,6.0,1.0,15.0,9.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,6.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,36.0,0.0,7.0,23.0,0.0,0.0,0.0,5.0,16.0
"Korea, Democratic People's Republic of",0.0,13.0,0.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,80.0,0.0,51.0,0.0,1017.0,0.0,0.0,32.0,0.0,0.0,4.0,0.0,46.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,0.0,16.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,4.0,1.0,202.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0,0.0,21.0,3.0,0.0,0.0,7.0,0.0,0.0,13.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,5.0,1.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,0.0,8.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,5.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,16.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,11.0,0.0,8.0,1.0,0.0,0.0,8.0,9.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,4.0,18.0,0.0,0.0,0.0,2.0,1.0
Sweden,0.0,2.0,2.0,78.0,2.0,3.0,3.0,0.0,22.0,8.0,0.0,2.0,17.0,5.0,1.0,30.0,6.0,755.0,0.0,1.0,19.0,15.0,1.0,15.0,0.0,71.0,2.0,37.0,2.0,0.0,12.0,1.0,40.0,0.0,0.0,0.0,1.0,9.0,13.0,2.0,11.0,15.0,41.0,0.0,10.0,12.0,29.0,1.0,27.0,2.0,0.0,0.0,123.0,0.0,1.0,0.0,15.0,3.0,3.0,1.0,0.0,1.0,39.0,0.0,74.0,38.0,0.0,55.0,8.0,1.0,0.0,0.0,17.0,14.0,1.0,3.0,24.0,14.0,6.0,1.0,18.0,18.0,11.0,1.0,15.0,5.0,26.0,16.0,41.0,0.0,0.0,6.0,0.0,8.0,2.0,9.0,0.0,33.0,12.0,3.0,0.0,4.0,0.0,6.0,0.0,0.0,35.0,6.0,6.0,12.0,0.0,0.0,1.0,8.0,18.0
Bulgaria,0.0,1.0,2.0,74.0,1.0,9.0,18.0,0.0,0.0,0.0,8.0,4.0,2.0,2.0,0.0,25.0,8.0,1432.0,0.0,0.0,12.0,18.0,5.0,4.0,0.0,37.0,5.0,9.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,19.0,38.0,16.0,4.0,9.0,4.0,0.0,0.0,549.0,0.0,0.0,1.0,8.0,0.0,5.0,1.0,0.0,0.0,13.0,0.0,3.0,15.0,0.0,174.0,3.0,1.0,0.0,0.0,16.0,1.0,0.0,2.0,3.0,0.0,13.0,4.0,15.0,1.0,1.0,0.0,75.0,3.0,8.0,7.0,9.0,0.0,0.0,0.0,0.0,3.0,2.0,19.0,0.0,3.0,55.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,52.0,0.0,13.0,2.0,0.0,1.0,0.0,0.0,4.0
Georgia,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Kazakhstan,0.0,9.0,0.0,10.0,1.0,3.0,9.0,0.0,2.0,0.0,3.0,1.0,5.0,8.0,1.0,8.0,12.0,223.0,0.0,0.0,12.0,5.0,2.0,1.0,1.0,24.0,5.0,11.0,1.0,0.0,2.0,0.0,17.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,8.0,1.0,1.0,0.0,2.0,9.0,17.0,2.0,16.0,6.0,1.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,7.0,9.0,1.0,19.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,52.0,4.0,1.0,17.0,15.0,2.0,0.0,4.0,0.0,7.0,5.0,12.0,0.0,2.0,2.0,0.0,3.0,8.0,1.0,0.0,6.0,8.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,13.0,1.0,6.0,12.0,0.0,0.0,0.0,4.0,0.0
"Korea, Republic of",0.0,2.0,0.0,33.0,1.0,4.0,1.0,0.0,5.0,0.0,6.0,0.0,2.0,17.0,0.0,20.0,2.0,681.0,4.0,0.0,46.0,16.0,4.0,2.0,0.0,37.0,1.0,66.0,6.0,0.0,5.0,3.0,19.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,4.0,5.0,10.0,0.0,17.0,55.0,35.0,4.0,11.0,9.0,6.0,0.0,135.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,99.0,4.0,1.0,119.0,1.0,2.0,0.0,0.0,1.0,6.0,2.0,16.0,7.0,58.0,4.0,1.0,2.0,18.0,3.0,2.0,24.0,1.0,27.0,9.0,7.0,0.0,0.0,3.0,0.0,8.0,0.0,7.0,1.0,21.0,3.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,0.0,168.0,16.0,0.0,6.0,0.0,1.0,7.0
Bangladesh,0.0,1.0,2.0,10.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,52.0,0.0,6.0,0.0,473.0,0.0,0.0,4.0,3.0,120.0,0.0,0.0,10.0,0.0,5.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,39.0,6.0,0.0,2.0,3.0,1.0,4.0,5.0,13.0,14.0,0.0,1.0,0.0,1.0,0.0,30.0,1.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,30.0,0.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,11.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,10.0,13.0,2.0,6.0,24.0,0.0,6.0,1.0,0.0,3.0,1.0,0.0,0.0,14.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,13.0,0.0,81.0,7.0,4.0,0.0,0.0,0.0,6.0
Mexico,0.0,1.0,2.0,224.0,5.0,20.0,35.0,0.0,2.0,45.0,31.0,23.0,9.0,51.0,5.0,52.0,0.0,3266.0,10.0,0.0,21.0,19.0,127.0,17.0,1.0,56.0,2.0,19.0,6.0,1.0,4.0,4.0,34.0,0.0,0.0,2.0,2.0,56.0,7.0,0.0,7.0,21.0,2.0,0.0,275.0,113.0,95.0,6.0,55.0,16.0,1.0,0.0,133.0,0.0,0.0,0.0,1.0,3.0,25.0,4.0,0.0,2.0,10.0,0.0,10.0,44.0,3.0,129.0,5.0,2.0,0.0,0.0,12.0,2.0,3.0,5.0,3.0,26.0,18.0,0.0,56.0,12.0,127.0,0.0,64.0,19.0,42.0,128.0,31.0,1.0,14.0,0.0,0.0,9.0,5.0,111.0,1.0,69.0,36.0,10.0,6.0,11.0,0.0,2.0,8.0,0.0,39.0,0.0,35.0,88.0,0.0,5.0,0.0,12.0,142.0
Malta,0.0,3.0,0.0,9.0,1.0,1.0,77.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,204.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0
Congo,0.0,22.0,0.0,19.0,0.0,0.0,0.0,1.0,1.0,2.0,30.0,3.0,0.0,26.0,3.0,11.0,60.0,262.0,0.0,0.0,0.0,4.0,18.0,1.0,3.0,1393.0,2.0,33.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,6.0,3.0,2.0,0.0,1.0,1.0,11.0,0.0,1.0,2.0,3.0,0.0,18.0,3.0,0.0,0.0,62.0,0.0,0.0,14.0,3.0,1.0,10.0,0.0,0.0,0.0,8.0,1.0,16.0,97.0,11.0,224.0,4.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,43.0,0.0,0.0,29.0,1.0,0.0,2.0,19.0,10.0,64.0,0.0,0.0,2.0,5.0,0.0,1.0,14.0,59.0,0.0,53.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14.0,0.0,11.0,2.0,0.0,2.0,1.0,24.0,64.0
Austria,0.0,1.0,6.0,57.0,2.0,4.0,0.0,0.0,1.0,0.0,7.0,7.0,3.0,5.0,0.0,17.0,0.0,947.0,0.0,1.0,7.0,9.0,5.0,30.0,0.0,27.0,3.0,12.0,6.0,0.0,6.0,0.0,59.0,1.0,0.0,0.0,0.0,10.0,3.0,0.0,43.0,3.0,4.0,0.0,23.0,51.0,57.0,0.0,28.0,27.0,0.0,0.0,132.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,12.0,0.0,11.0,8.0,0.0,73.0,13.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,19.0,12.0,0.0,1.0,2.0,4.0,0.0,6.0,15.0,17.0,19.0,21.0,0.0,0.0,0.0,0.0,3.0,3.0,12.0,0.0,46.0,12.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,16.0,0.0,4.0,16.0,0.0,3.0,0.0,3.0,23.0
Burkina Faso,0.0,1.0,0.0,44.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,7.0,0.0,2.0,0.0,128.0,0.0,0.0,3.0,1.0,12.0,0.0,0.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,11.0,45.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0,5.0,5.0,1.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,3.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,6.0,4.0,0.0,1.0,2.0,8.0,8.0
South Sudan,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,48.0,1.0,1.0,2.0,30.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,15.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,9.0,7.0,0.0,0.0,4.0,1.0
"Taiwan, Province of China",0.0,1.0,0.0,39.0,0.0,2.0,0.0,0.0,5.0,0.0,2.0,11.0,1.0,2.0,1.0,66.0,0.0,948.0,1.0,0.0,6.0,8.0,12.0,1.0,0.0,16.0,0.0,8.0,7.0,0.0,6.0,0.0,14.0,0.0,0.0,1.0,0.0,17.0,2.0,0.0,0.0,3.0,14.0,1.0,4.0,35.0,26.0,0.0,9.0,8.0,0.0,0.0,87.0,10.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,8.0,0.0,33.0,2.0,0.0,0.0,0.0,9.0,51.0,0.0,0.0,8.0,212.0,1.0,1.0,1.0,5.0,2.0,0.0,4.0,3.0,41.0,7.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,13.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,11.0,0.0,11.0,30.0,1.0,0.0,0.0,2.0,15.0
Sierra Leone,0.0,19.0,0.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,17.0,2.0,8.0,1.0,0.0,0.0,0.0,7.0,1.0,4.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,4.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0
Madagascar,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,68.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0
