,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Peru,0.0,0.0,1.0,33.0,2.0,2.0,15.0,0.0,6.0,3.0,12.0,8.0,4.0,4.0,0.0,54.0,0.0,2105.0,78.0,0.0,1.0,20.0,234.0,8.0,0.0,19.0,0.0,8.0,1.0,0.0,1.0,2.0,7.0,2.0,0.0,2.0,2.0,10.0,8.0,1.0,0.0,9.0,1.0,0.0,49.0,53.0,10.0,4.0,23.0,3.0,2.0,0.0,88.0,0.0,0.0,0.0,0.0,3.0,14.0,5.0,0.0,0.0,4.0,0.0,5.0,16.0,0.0,57.0,9.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,5.0,40.0,17.0,0.0,26.0,4.0,2.0,0.0,36.0,16.0,6.0,45.0,9.0,0.0,4.0,2.0,0.0,2.0,0.0,104.0,2.0,90.0,5.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,58.0,0.0,4.0,14.0,1.0,0.0,0.0,5.0,46.0
Pakistan,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,1.0,189.0,0.0,15.0,16.0,508.0,1.0,0.0,4.0,1.0,104.0,7.0,0.0,46.0,1.0,16.0,2.0,0.0,1.0,1.0,19.0,1.0,0.0,0.0,0.0,21.0,18.0,1.0,2.0,3.0,0.0,0.0,9.0,27.0,29.0,1.0,9.0,5.0,0.0,0.0,43.0,1.0,0.0,1.0,0.0,7.0,16.0,0.0,0.0,0.0,1.0,0.0,4.0,29.0,0.0,47.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,6.0,552.0,3.0,4.0,18.0,1.0,0.0,10.0,5.0,10.0,8.0,15.0,0.0,0.0,1.0,0.0,5.0,0.0,6.0,0.0,14.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,49.0,20.0,0.0,4.0,0.0,6.0,19.0
Paraguay,0.0,0.0,1.0,3.0,0.0,4.0,20.0,0.0,0.0,4.0,3.0,21.0,0.0,1.0,0.0,7.0,0.0,289.0,0.0,0.0,4.0,0.0,55.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,1.0,6.0,2.0,0.0,2.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,16.0,0.0,0.0,5.0,0.0,0.0,1.0,15.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,35.0
Wallis and Futuna,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,221.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,68.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,11.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,14.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,1.0,0.0,28.0,0.0
Denmark,0.0,0.0,0.0,158.0,0.0,1.0,1.0,0.0,20.0,0.0,8.0,0.0,12.0,4.0,10.0,25.0,0.0,716.0,0.0,0.0,4.0,10.0,0.0,9.0,0.0,64.0,3.0,23.0,2.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,15.0,7.0,0.0,4.0,2.0,0.0,1.0,39.0,16.0,24.0,0.0,11.0,7.0,0.0,0.0,148.0,1.0,0.0,0.0,2.0,0.0,6.0,1.0,3.0,0.0,4.0,0.0,14.0,13.0,1.0,72.0,3.0,2.0,0.0,0.0,8.0,3.0,0.0,9.0,6.0,13.0,11.0,0.0,7.0,16.0,1.0,0.0,2.0,3.0,7.0,9.0,27.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,30.0,7.0,0.0,8.0,2.0,1.0,0.0,2.0,1.0,16.0,0.0,7.0,31.0,0.0,2.0,0.0,9.0,8.0
Egypt,0.0,0.0,0.0,180.0,0.0,1.0,26.0,0.0,5.0,2.0,12.0,4.0,2.0,23.0,17.0,12.0,0.0,1331.0,1.0,0.0,3.0,2.0,15.0,269.0,1.0,14.0,1.0,513.0,3.0,1.0,1.0,0.0,26.0,1.0,1.0,15.0,1.0,353.0,15.0,2.0,6.0,0.0,1.0,0.0,9.0,27.0,67.0,1.0,5.0,1.0,0.0,0.0,53.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,0.0,3.0,0.0,8.0,78.0,8.0,66.0,1.0,0.0,2.0,0.0,1.0,69.0,1.0,0.0,20.0,12.0,174.0,0.0,2.0,1.0,0.0,0.0,2.0,19.0,9.0,29.0,21.0,0.0,8.0,18.0,0.0,7.0,3.0,17.0,0.0,7.0,25.0,1.0,2.0,5.0,6.0,1.0,0.0,0.0,32.0,0.0,8.0,64.0,0.0,3.0,0.0,15.0,11.0
Ireland,0.0,0.0,0.0,117.0,1.0,9.0,1.0,0.0,8.0,0.0,18.0,2.0,30.0,6.0,0.0,45.0,0.0,2462.0,1.0,2.0,24.0,10.0,8.0,1.0,0.0,46.0,0.0,17.0,4.0,0.0,5.0,0.0,98.0,0.0,0.0,1.0,3.0,226.0,11.0,2.0,25.0,3.0,1.0,1.0,77.0,57.0,81.0,0.0,26.0,18.0,0.0,0.0,336.0,0.0,0.0,3.0,3.0,0.0,6.0,3.0,5.0,0.0,35.0,1.0,7.0,12.0,1.0,62.0,19.0,1.0,0.0,0.0,16.0,3.0,1.0,0.0,6.0,4.0,20.0,1.0,14.0,20.0,0.0,0.0,15.0,7.0,25.0,62.0,139.0,1.0,2.0,10.0,0.0,6.0,0.0,17.0,0.0,36.0,8.0,12.0,2.0,11.0,0.0,0.0,3.0,0.0,18.0,0.0,25.0,23.0,0.0,0.0,0.0,3.0,9.0
"Macedonia, Republic of",0.0,0.0,0.0,35.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,7.0,2.0,517.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,48.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,11.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Mali,0.0,0.0,0.0,28.0,3.0,3.0,7.0,0.0,2.0,0.0,25.0,0.0,5.0,6.0,2.0,6.0,0.0,278.0,1.0,0.0,2.0,2.0,2.0,54.0,2.0,34.0,1.0,8.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,3.0,0.0,8.0,6.0,0.0,0.0,26.0,0.0,0.0,8.0,1.0,1.0,6.0,3.0,0.0,0.0,32.0,0.0,4.0,50.0,3.0,31.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,5.0,9.0,2.0,2.0,2.0,0.0,0.0,5.0,3.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,17.0,4.0,1.0,0.0,0.0,5.0,3.0
"Palestine, State of",0.0,0.0,0.0,93.0,3.0,1.0,2.0,0.0,47.0,1.0,7.0,0.0,0.0,4.0,0.0,43.0,0.0,1158.0,1.0,0.0,8.0,12.0,8.0,365.0,0.0,16.0,1.0,59.0,2.0,0.0,8.0,0.0,11.0,0.0,0.0,3.0,0.0,119.0,4.0,0.0,2.0,2.0,0.0,0.0,23.0,22.0,10.0,0.0,10.0,5.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0,0.0,22.0,16.0,1.0,43.0,4.0,0.0,1.0,0.0,3.0,16.0,0.0,1.0,3.0,6.0,151.0,1.0,2.0,23.0,1.0,0.0,12.0,39.0,9.0,14.0,75.0,0.0,0.0,1.0,0.0,2.0,0.0,23.0,0.0,16.0,6.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,17.0,0.0,8.0,18.0,2.0,0.0,1.0,15.0,12.0
Finland,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,11.0,0.0,409.0,5.0,0.0,12.0,10.0,0.0,4.0,0.0,16.0,10.0,9.0,1.0,0.0,1.0,0.0,37.0,0.0,0.0,0.0,2.0,9.0,5.0,0.0,1.0,2.0,7.0,0.0,2.0,9.0,9.0,0.0,34.0,4.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,5.0,0.0,4.0,1.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,3.0,11.0,1.0,0.0,5.0,15.0,1.0,0.0,5.0,0.0,10.0,12.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,10.0,7.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,6.0,0.0,2.0,0.0,1.0,5.0
Israel,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,0.0,0.0,3.0,0.0,11.0,0.0,413.0,0.0,0.0,7.0,1.0,3.0,65.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,5.0,3.0,0.0,3.0,12.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,6.0,4.0,20.0,0.0,0.0,2.0,0.0,0.0,6.0,8.0,10.0,7.0,15.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,12.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0
Dominica,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,4.0,0.0,7.0,0.0,373.0,0.0,0.0,0.0,1.0,17.0,17.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,6.0,0.0,0.0,0.0,2.0,12.0,2.0,9.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
Seychelles,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,51.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0
Singapore,0.0,0.0,0.0,56.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,15.0,1.0,2.0,0.0,26.0,0.0,879.0,16.0,0.0,94.0,4.0,195.0,0.0,0.0,45.0,0.0,39.0,0.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,4.0,0.0,2.0,8.0,25.0,43.0,2.0,6.0,4.0,0.0,0.0,127.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,11.0,6.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,5.0,21.0,1.0,0.0,1.0,33.0,1.0,0.0,1.0,1.0,34.0,16.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,5.0,17.0,0.0,3.0,0.0,8.0,46.0
Haiti,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,50.0,0.0,3.0,0.0,89.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,130.0,1.0,0.0,1.0,0.0,14.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,6.0,4.0
Jersey,0.0,0.0,0.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,283.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,9.0,0.0,9.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0
Réunion,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,1.0,0.0,118.0,0.0,1.0,0.0,0.0,47.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0
Sri Lanka,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,4.0,0.0,1.0,0.0,919.0,0.0,0.0,2.0,1.0,72.0,3.0,0.0,8.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,22.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,0.0,6.0,2.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,4.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,7.0,1.0,2.0,0.0,1.0,2.0,4.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
Nicaragua,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,8.0,0.0,158.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0
Chad,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,9.0,0.0,2.0,0.0,133.0,0.0,0.0,5.0,1.0,3.0,1.0,1.0,3.0,0.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,4.0,0.0,11.0,2.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,18.0,0.0,1.0,6.0,0.0,4.0,0.0,1.0,6.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,7.0,0.0,6.0,0.0,1.0,0.0,0.0,6.0,1.0
Slovenia,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,276.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,17.0,14.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Ecuador,0.0,0.0,0.0,15.0,5.0,3.0,3.0,0.0,1.0,10.0,2.0,4.0,0.0,1.0,0.0,4.0,0.0,608.0,0.0,0.0,1.0,1.0,26.0,15.0,0.0,42.0,1.0,3.0,1.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,9.0,15.0,3.0,0.0,8.0,7.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,7.0,10.0,0.0,35.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,0.0,9.0,1.0,13.0,0.0,16.0,2.0,1.0,6.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,12.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,17.0
"Bolivia, Plurinational State of",0.0,0.0,0.0,4.0,0.0,2.0,15.0,0.0,1.0,17.0,12.0,4.0,0.0,2.0,0.0,10.0,0.0,900.0,0.0,0.0,0.0,2.0,72.0,1.0,0.0,7.0,0.0,19.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,3.0,18.0,0.0,6.0,10.0,2.0,1.0,8.0,6.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,11.0,17.0,0.0,0.0,0.0,1.0,0.0,2.0,15.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,12.0,5.0,0.0,0.0,9.0,3.0,1.0,23.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,11.0,0.0,19.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,12.0,0.0,2.0,1.0,0.0,0.0,0.0,39.0,29.0
El Salvador,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,4.0,0.0,208.0,0.0,0.0,59.0,2.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,11.0,5.0,0.0,2.0,1.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,28.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,12.0,8.0,0.0,9.0,2.0,1.0,0.0,9.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,14.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,27.0
Cambodia,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,3.0,0.0,369.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,6.0,0.0,33.0,2.0,3.0,0.0,1.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,2.0,12.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,5.0,2.0,0.0,1.0,0.0,1.0,7.0
Serbia,0.0,0.0,0.0,7.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,363.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,5.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,16.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,7.0
